Type;Address;IstOpcode;SollOpcode;IstCommand;SollCommand
B;0x1FE26;0xF095;0xFFFF;NOP;NOP
A;0x1FE28;0x0102;0xFFFF;MOVLB 0x2;NOP
A;0x1FE2A;0x81BB;0xFFFF;BSF 0xBB, 0, BANKED;NOP
A;0x1FE2C;0x0E02;0xFFFF;MOVLW 0x2;NOP
A;0x1FE2E;0x6FBD;0xFFFF;MOVWF 0xBD, BANKED;NOP
A;0x1FE30;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x1FE32;0x6FBC;0xFFFF;MOVWF 0xBC, BANKED;NOP
A;0x1FE34;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x1FE36;0x6FBA;0xFFFF;MOVWF 0xBA, BANKED;NOP
A;0x1FE38;0x0EBA;0xFFFF;MOVLW 0xBA;NOP
A;0x1FE3A;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FE3C;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FE3E;0x0E02;0xFFFF;MOVLW 0x2;NOP
A;0x1FE40;0x6F61;0xFFFF;MOVWF 0x61, BANKED;NOP
A;0x1FE42;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE44;0xECC0;0xFFFF;CALL 0x12D80, 0;NOP
B;0x1FE46;0xF096;0xFFFF;NOP;NOP
A;0x1FE48;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FE4A;0x6F64;0xFFFF;MOVWF 0x64, BANKED;NOP
A;0x1FE4C;0xEC89;0xFFFF;CALL 0x11312, 0;NOP
B;0x1FE4E;0xF089;0xFFFF;NOP;NOP
A;0x1FE50;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FE52;0x6F65;0xFFFF;MOVWF 0x65, BANKED;NOP
A;0x1FE54;0x5164;0xFFFF;MOVF 0x64, W, BANKED;NOP
A;0x1FE56;0x5D65;0xFFFF;SUBWF 0x65, W, BANKED;NOP
A;0x1FE58;0xB0D8;0xFFFF;BTFSC STATUS, 0, ACCESS;NOP
A;0x1FE5A;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE5C;0x5165;0xFFFF;MOVF 0x65, W, BANKED;NOP
A;0x1FE5E;0xECF6;0xFFFF;CALL 0x12BEC, 0;NOP
B;0x1FE60;0xF095;0xFFFF;NOP;NOP
A;0x1FE62;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE64;0x0E01;0xFFFF;MOVLW 0x1;NOP
A;0x1FE66;0x0101;0xFFFF;MOVLB 0x1;NOP
